"species","family","status"
"Campyloneurum densifolium (Hieron.) Lellinger","Polypodiaceae","ACCEPTED"
"Elaphoglossum vulcanicum Christ","Dryopteridaceae","ACCEPTED"
"Ascogrammitis athyrioides (Hook.) Sundue","Polypodiaceae","ACCEPTED"
"Melpomene personata Lehnert","Polypodiaceae","ACCEPTED"
"Hymenophyllum J.E.Sm.","Hymenophyllaceae","ACCEPTED"
"Asplenium fragrans Sw.","Aspleniaceae","ACCEPTED"
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
NA,NA,NA
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Serpocaulon A.R.Sm.","Polypodiaceae","ACCEPTED"
"Peperomia Ruiz & Pav.","Piperaceae","ACCEPTED"
"Stelis simplex (Ames & C.Schweinf.) Pridgeon & M.W.Chase","Orchidaceae","ACCEPTED"
"Demosthenesia buxifolia (Fielding & Gardner) A.C.Sm.","Ericaceae","ACCEPTED"
"Demosthenesia spectabilis (Rusby) A.C.Sm.","Ericaceae","ACCEPTED"
"Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Disterigma alaternoides (Kunth) Nied.","Ericaceae","ACCEPTED"
"Elaphoglossum metallicum Mickel","Dryopteridaceae","ACCEPTED"
"Racinaea seemannii (Baker) M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Siphonandra elliptica (Ruiz & Pav.) Klotzsch","Ericaceae","ACCEPTED"
"Thibaudia yungensis Luteyn & Pedraza","Ericaceae","ACCEPTED"
"Elaphoglossum muscosum (Sw.) T.Moore","Dryopteridaceae","ACCEPTED"
"Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Lepanthopsis acuminata Ames","Orchidaceae","ACCEPTED"
NA,NA,NA
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Radiovittaria ruiziana (Fée) E.H.Crane","Pteridaceae","ACCEPTED"
"Psammisia Klotzsch","Ericaceae","ACCEPTED"
NA,NA,NA
"Peperomia Ruiz & Pav.","Piperaceae","ACCEPTED"
