plot;subplot;cod_tree;foro_cod;specie;dap;high
ACJ-01;9;313;ACJ-01_313;Sessea dependens;15;9
ACJ-01;9;317;ACJ-01_317;Symplocos baehnii;26.5;12
ACJ-01;9;316;ACJ-01_316;Hedyosmum maximum;17.2;9
ACJ-01;9;315;ACJ-01_315;Polylepis pauta;50.8;15
ACJ-01;9;339;ACJ-01_339;Symplocos baehnii;25.2;12
ACJ-01;9;314;ACJ-01_314;Hedyosmum maximum;28.5;12
ACJ-01;9;336;ACJ-01_336;Weinmannia fagaroides;31.1;15
ACJ-01;9;319;ACJ-01_319;Symplocos quitensis;15.1;10
ACJ-01;9;4546;ACJ-01_4546;Symplocos baehnii;12.6;9
ACJ-01;9;321;ACJ-01_321;Weinmannia fagaroides;15.7;9
ACJ-01;9;338;ACJ-01_338;Sessea dependens;15.9;9
ACJ-01;9;4509;ACJ-01_4509;Symplocos quitensis;12.9;8
ACJ-01;9;323;ACJ-01_323;Weinmannia auriculata;28.3;15
ACJ-01;9;4577;ACJ-01_4577;Symplocos baehnii;10.6;9
ACJ-01;9;4510;ACJ-01_4510;Symplocos baehnii;13.6;7
ACJ-01;9;327;ACJ-01_327;Hedyosmum maximum;10.3;4
ACJ-01;9;328;ACJ-01_328;Miconia alpina;12.2;7
ACJ-01;9;325;ACJ-01_325;Weinmannia fagaroides;51.8;13
ACJ-01;9;326;ACJ-01_326;Saracha punctata;12.5;3
ACJ-01;9;329;ACJ-01_329;Weinmannia fagaroides;17.7;8
ACJ-01;9;344;ACJ-01_344;Symplocos baehnii;16.9;10
ACJ-01;9;345;ACJ-01_345;Polylepis pauta;31;11
ACJ-01;9;4511;ACJ-01_4511;Symplocos quitensis;11.9;9.5
ACJ-01;9;343;ACJ-01_343;Miconia alpina;29.6;13
ACJ-01;9;334;ACJ-01_334;Clethra WRF584;19.6;15
ACJ-01;9;342;ACJ-01_342;Symplocos baehnii;14.2;9
ACJ-01;9;340;ACJ-01_340;Symplocos baehnii;17.7;9
ACJ-01;9;4578;ACJ-01_4578;Hedyosmum maximum;10.8;6.5
ACJ-01;21;716;ACJ-01_716;Clethra cuneata;31.6;15
ACJ-01;21;4528;ACJ-01_4528;Symplocos baehnii;12.1;9.5
ACJ-01;21;4529;ACJ-01_4529;Symplocos quitensis;12.6;7.5
ACJ-01;21;4593;ACJ-01_4593;Miconia AMM15963;10.7;6
ACJ-01;21;718;ACJ-01_718;Hedyosmum maximum;11.4;10
