family;morphospe;3261;3402;3537;3625;Total
Alstroemeriaceae;Bomarea sp.1;1;0;0;0;1
Aspleniaceae;Asplenium fragans;17;8;10;93;128
Aspleniaceae;Asplenium harpeoides;2;0;2;0;4
Aspleniaceae;Asplenium serra;2;0;0;0;2
Bromeliaceae;Neoregelia sp.3;3;0;0;0;3
Bromeliaceae;Racinaea seemannii;58;20;2;2;82
Bromeliaceae;Racinaea sp.3;0;0;1;0;1
Bromeliaceae;Racinaea sp.4;0;0;1;0;1
Bromeliaceae;Racinaea sp.5;1;0;0;0;1
Bromeliaceae;Racinaea sp.6;2;0;0;0;2
Bromeliaceae;Racinaea sp.7;1;0;0;0;1
Bromeliaceae;Tillandsia complanata;19;0;0;0;19
Bromeliaceae;Tillandsia ionochroma;276;3;3;0;282
Bromeliaceae;Tillandsia recurvata;1;0;0;0;1
Bromeliaceae;Tillandsia sp.1;1;0;0;0;1
Bromeliaceae;Tillandsia sp.10;0;1;0;0;1
Bromeliaceae;Tillandsia sp.11;0;2;0;0;2
Bromeliaceae;Tillandsia sp.9;0;15;0;0;15
Dryopteridaceae;Elaphoglossum glossphylum;14;1;0;0;15
Dryopteridaceae;Elaphoglossum lechlerianum;2;0;0;0;2
Dryopteridaceae;Elaphoglossum lingua;10;1;0;0;11
Dryopteridaceae;Elaphoglossum metallicum;41;99;24;87;251
Dryopteridaceae;Elaphoglossum muscosum;78;10;1;0;89
Dryopteridaceae;Elaphoglossum muscosum 2;1;0;0;0;1
Dryopteridaceae;Elaphoglossum pachyphyllum;0;1;0;0;1
Dryopteridaceae;Elaphoglossum rimbachii;6;11;0;8;25
Dryopteridaceae;Elaphoglossum sp.17;0;0;0;2;2
Dryopteridaceae;Elaphoglossum sp.19;1;0;2;0;3
Dryopteridaceae;Elaphoglossum sp.20;0;0;1;0;1
Dryopteridaceae;Elaphoglossum sp.22;15;0;0;0;15
Dryopteridaceae;Elaphoglossum sp.23;1;0;0;0;1
Dryopteridaceae;Elaphoglossum sp.25;1;0;0;0;1
Dryopteridaceae;Elaphoglossum vulcanicum;47;82;144;41;314
Ericaceae;Demosthenesia buxifolia;2;76;12;42;132
Ericaceae;Demosthenesia mandonii;0;3;3;0;6
Ericaceae;Demosthenesia spectabilis;0;5;16;2;23
Ericaceae;Dicotiledonea sp.1;0;4;0;0;4
Ericaceae;Disterigma alaternoides;0;10;1;21;32
Ericaceae;Disterigma sp.1;0;9;0;0;9
Ericaceae;Orthaea boliviensis;0;5;1;0;6
Ericaceae;Psammisia sp.1;0;0;8;0;8
Ericaceae;Psammisia sp.2;0;0;0;3;3
Ericaceae;Satyria panurensis;0;1;0;0;1
Ericaceae;Siphonandra elliptica;0;21;11;4;36
Ericaceae;Sphyrospermum cordifolium;96;55;0;0;151
Ericaceae;Thibaudia crenulata;9;2;0;0;11
Ericaceae;Thibaudia sp.1;0;0;0;38;38
Ericaceae;Thibaudia yungensis;27;55;14;2;98
Grossulariaceae;Ribes sp.1;0;0;0;15;15
Hymenophyllaceae;Hymenophyllum sericeum;10;0;0;0;10
Hymenophyllaceae;Hymenophyllum sp.1;81;165;168;58;472
Hymenophyllaceae;Hymenophyllum sp.2;0;1;0;0;1
Hymenophyllaceae;Trichomanes sp.3;1;0;0;0;1
Lycopodiaceae;Huperzia sp.1;1;0;0;0;1
Onagraceae;Fuchsia apetala ;0;0;0;2;2
Onagraceae;Fuchsia sp.1;0;4;0;10;14
Orchidaceae;Cranichis sp.1;1;0;0;0;1
Orchidaceae;Cyrtochilum rhodoneurum;29;0;0;0;29
Orchidaceae;Dichaea sp.1;1;2;0;0;3
Orchidaceae;Dichaea sp.2;1;0;0;0;1
Orchidaceae;Elleanthus longibracteatus;26;53;0;1;80
Orchidaceae;Elleanthus sp.1;0;49;0;0;49
Orchidaceae;Elleanthus sp.2;47;0;0;0;47
Orchidaceae;Epidendrum ardens;0;0;1;19;20
Orchidaceae;Epidendrum bleparichillum;15;0;0;21;36
Orchidaceae;Epidendrum manusalinasiae;0;16;0;0;16
Orchidaceae;Epidendrum soratae;75;0;0;43;118
Orchidaceae;Epidendrum sp.1;0;0;2;0;2
Orchidaceae;Epidendrum sp.10;0;1;0;0;1
Orchidaceae;Epidendrum sp.12;0;0;0;4;4
Orchidaceae;Epidendrum sp.13;3;0;3;6;12
Orchidaceae;Epidendrum sp.15;7;0;0;0;7
Orchidaceae;Epidendrum sp.19;3;0;0;0;3
Orchidaceae;Epidendrum sp.2;0;0;14;0;14
Orchidaceae;Epidendrum sp.20;4;0;0;0;4
Orchidaceae;Epidendrum sp.28;2;0;0;0;2
Orchidaceae;Epidendrum sp.3;6;36;6;0;48
Orchidaceae;Epidendrum sp.4;3;30;4;0;37
Orchidaceae;Epidendrum sp.5;0;4;1;0;5
Orchidaceae;Epidendrum sp.7;0;18;0;0;18
Orchidaceae;Epidendrum sp.9;3;10;0;0;13
Orchidaceae;Fernandezia sp.3;2;0;0;0;2
Orchidaceae;Fernandezia parvifolia;15;64;7;4;90
Orchidaceae;Lepanthes sp.1;0;1;6;1;8
Orchidaceae;Lepanthes sp.2;0;8;9;0;17
Orchidaceae;Lepanthes sp.3;0;2;0;9;11
Orchidaceae;Lepanthes sp.4;0;1;0;0;1
Orchidaceae;Lepanthes sp.5;4;0;0;0;4
Orchidaceae;Lepanthopsis acuminata;13;16;4;2;35
Orchidaceae;Lepanthopsis sp.2;1;0;0;0;1
Orchidaceae;Masdevallia antonii;10;0;0;0;10
Orchidaceae;Maxillaria cuzcoensis;0;1;0;0;1
Orchidaceae;Maxillaria gigantea;1;1;0;0;2
Orchidaceae;Maxillaria haemathodes;11;2;0;0;13
Orchidaceae;Maxillaria sp.10;31;1;0;0;32
Orchidaceae;Maxillaria sp.11;1;0;0;0;1
Orchidaceae;Maxillaria sp.12;1;0;0;0;1
Orchidaceae;Maxillaria sp.19;0;1;0;0;1
Orchidaceae;Maxillaria sp.2;0;1;1;0;2
Orchidaceae;Maxillaria sp.4;0;18;0;4;22
Orchidaceae;Maxillaria sp.7;11;1;0;1;13
Orchidaceae;Maxillaria sp.8;0;2;0;0;2
Orchidaceae;Maxillaria sp.9;0;1;0;0;1
Orchidaceae;Myoxanthus sp.1;0;1;0;0;1
Orchidaceae;Myoxanthus parahybunensis;10;0;0;0;10
Orchidaceae;Oncidium aurarium;38;15;9;0;62
Orchidaceae;Orquidea sp.2;0;2;0;0;2
Orchidaceae;Orquidea sp.3;0;1;0;0;1
Orchidaceae;Fernandezia sp.1;7;5;8;4;24
Orchidaceae;Fernandezia sp.2;83;85;10;2;180
Orchidaceae;Fernandezia sp.4;22;0;0;0;22
Orchidaceae;Platystele sp.1;3;0;0;0;3
Orchidaceae;Pleurothallis cassidis;0;5;0;5;10
Orchidaceae;Pleurothallis sp.1;0;2;2;0;4
Orchidaceae;Pleurothallis sp.2;0;1;3;0;4
Orchidaceae;Pleurothallis sp.3;0;2;0;0;2
Orchidaceae;Pleurothallis sp.7;19;0;0;48;67
