"morphospe","family.x","scientificName","family.y","status"
"Campyloneurum densifolium","Polypodiaceae","Campyloneurum densifolium (Hieron.) Lellinger","Polypodiaceae","ACCEPTED"
"Elaphoglossum vulcanicum","Dryopteridaceae","Elaphoglossum vulcanicum Christ","Dryopteridaceae","ACCEPTED"
"Ascogrammitis athyrioides","Polypodiaceae","Ascogrammitis athyrioides (Hook.) Sundue","Polypodiaceae","ACCEPTED"
"Melpomene personata","Polypodiaceae","Melpomene personata Lehnert","Polypodiaceae","ACCEPTED"
"Hymenophyllum sp1","Hymenophyllaceae","Hymenophyllum J.E.Sm.","Hymenophyllaceae","ACCEPTED"
"Asplenium fragans","Aspleniaceae","Asplenium fragrans Sw.","Aspleniaceae","ACCEPTED"
"Elaphoglossum sp19","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Melpomene sp10","Polypodiaceae",NA,NA,NA
"Elaphoglossum sp20","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Serpocaulon sp2","Polypodiaceae","Serpocaulon A.R.Sm.","Polypodiaceae","ACCEPTED"
"Peperomia sp1","Piperaceae","Peperomia Ruiz & Pav.","Piperaceae","ACCEPTED"
"Stelis simplex","Orchidaceae","Stelis simplex (Ames & C.Schweinf.) Pridgeon & M.W.Chase","Orchidaceae","ACCEPTED"
"Demosthenesia buxifolia","Ericaceae","Demosthenesia buxifolia (Fielding & Gardner) A.C.Sm.","Ericaceae","ACCEPTED"
"Demosthenesia spectabilis","Ericaceae","Demosthenesia spectabilis (Rusby) A.C.Sm.","Ericaceae","ACCEPTED"
"Lepanthes sp2","Orchidaceae","Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Disterigma alaternoides","Ericaceae","Disterigma alaternoides (Kunth) Nied.","Ericaceae","ACCEPTED"
"Elaphoglossum metallicum","Dryopteridaceae","Elaphoglossum metallicum Mickel","Dryopteridaceae","ACCEPTED"
"Racinaea seemannii","Bromeliaceae","Racinaea seemannii (Baker) M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Siphonandra elliptica","Ericaceae","Siphonandra elliptica (Ruiz & Pav.) Klotzsch","Ericaceae","ACCEPTED"
"Thibaudia yungensis","Ericaceae","Thibaudia yungensis Luteyn & Pedraza","Ericaceae","ACCEPTED"
"Elaphoglossum muscosum","Dryopteridaceae","Elaphoglossum muscosum (Sw.) T.Moore","Dryopteridaceae","ACCEPTED"
"Lepanthes sp1","Orchidaceae","Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Racinaea sp3","Bromeliaceae","Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Epidendrum sp1","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Epidendrum sp2","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Pleurothallis sp1","Orchidaceae","Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Epidendrum sp3","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Lepanthopsis acuminata","Orchidaceae","Lepanthopsis acuminata Ames","Orchidaceae","ACCEPTED"
"Pachyphyllum sp1","Orchidaceae",NA,NA,NA
"Epidendrum sp4","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Pleurothallis sp2","Orchidaceae","Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Radiovittaria ruizziana","Pteridaceae","Radiovittaria ruiziana (Fée) E.H.Crane","Pteridaceae","ACCEPTED"
"Psammisia sp1","Ericaceae","Psammisia Klotzsch","Ericaceae","ACCEPTED"
