n;date_hour;t_puna;ilum_puna;t_forest;ilum_forest;temp_puna;hr_puna;temp_forest;hr_forest
265;04/22/25 12:00:00AM;11.819;304;9.965;8;7.419;97.291;8.295;96.788
266;04/22/25 12:30:00AM;7.481;71;9.077;5;7.444;97.397;8.22;96.867
267;04/22/25 01:00:00AM;7.682;0;8.581;0;7.393;97.482;8.245;96.973
268;04/22/25 01:30:00AM;7.682;0;8.779;0;7.268;97.546;8.07;97.025
269;04/22/25 02:00:00AM;7.079;0;8.282;0;7.318;97.56;8.095;97.131
270;04/22/25 02:30:00AM;7.882;0;8.581;0;7.393;97.63;8.12;97.187
271;04/22/25 03:00:00AM;7.582;0;8.581;0;6.94;97.702;7.92;97.231
272;04/22/25 03:30:00AM;7.882;0;8.581;0;6.636;97.765;7.72;97.325
273;04/22/25 04:00:00AM;7.882;0;8.581;0;6.611;97.856;7.519;97.368
274;04/22/25 04:30:00AM;7.882;0;8.581;0;6.433;97.856;7.368;97.426
275;04/22/25 05:00:00AM;7.882;0;8.581;0;6.611;97.93;7.469;97.453
276;04/22/25 05:30:00AM;7.882;0;8.581;0;6.509;97.999;7.318;97.511
277;04/22/25 06:00:00AM;7.983;0;8.581;0;6.458;98.059;7.293;97.627
278;04/22/25 06:30:00AM;7.782;0;8.481;0;6.331;98.072;7.192;97.771
279;04/22/25 07:00:00AM;7.682;0;8.481;0;6.026;98.06;6.965;97.782
280;04/22/25 07:30:00AM;7.682;0;8.382;0;5.77;98.062;6.99;97.863
281;04/22/25 08:00:00AM;7.582;0;8.382;0;6.051;98.141;6.99;97.814
282;04/22/25 08:30:00AM;7.481;0;8.282;0;6.255;98.124;7.066;97.835
283;04/22/25 09:00:00AM;7.582;0;8.282;0;6.204;98.012;7.268;97.792
284;04/22/25 09:30:00AM;7.582;0;8.282;0;6.433;98.125;7.494;97.559
285;04/22/25 10:00:00AM;7.079;0;8.182;0;6.914;97.965;7.569;97.086
286;04/22/25 10:30:00AM;6.877;0;7.983;0;7.268;97.521;8.568;96.713
287;04/22/25 11:00:00AM;6.775;0;7.882;0;8.12;95.493;9.089;92.464
288;04/22/25 11:30:00AM;6.775;0;7.782;0;10.687;96.335;9.879;94.299
289;04/22/25 12:00:00PM;6.775;0;7.682;0;10.516;92.679;11.565;92.512
290;04/22/25 12:30:00PM;6.674;0;7.481;0;13.57;88.649;12.001;90.731
291;04/22/25 01:00:00PM;6.674;14;7.582;0;15.533;82.807;12.558;87.292
292;04/22/25 01:30:00PM;6.674;91;7.481;5;16.177;78.075;12.025;85.782
293;04/22/25 02:00:00PM;6.573;128;7.28;12;16.415;75.279;12.147;89.539
294;04/22/25 02:30:00PM;6.573;256;7.179;17;15.414;78.89;12.122;91.49
295;04/22/25 03:00:00PM;6.775;320;7.28;25;16.463;71.204;12.775;88.984
296;04/22/25 03:30:00PM;7.179;608;7.381;35;14.146;76.922;11.443;93.124
297;04/22/25 04:00:00PM;7.983;1088;7.582;63;13.57;84.075;10.932;94.245
298;04/22/25 04:30:00PM;8.481;800;8.082;59;14.194;75.953;11.613;91.309
299;04/22/25 05:00:00PM;9.077;1152;8.282;83;9.879;88.3;10.1;94.281
300;04/22/25 05:30:00PM;10.455;1728;9.077;121;8.27;92.761;9.386;94.472
301;04/22/25 06:00:00PM;13.75;2432;9.472;184;8.319;95.346;9.262;95.449
302;04/22/25 06:30:00PM;15.569;2560;10.357;128;8.245;95.602;9.213;96.088
303;04/22/25 07:00:00PM;18.901;2816;12.497;384;7.745;95.642;8.965;96.272
304;04/22/25 07:30:00PM;23.196;2560;12.98;208;7.92;96.586;8.568;96.464
305;04/22/25 08:00:00PM;24.351;3840;16.903;1024;8.22;96.668;8.742;96.81
306;04/22/25 08:30:00PM;28.357;3072;14.134;256;8.27;97.005;8.891;97.05
307;04/22/25 09:00:00PM;27.764;4096;12.883;192;8.07;97.223;8.792;97.322
308;04/22/25 09:30:00PM;29.853;2176;12.883;168;7.995;97.401;8.767;97.414
309;04/22/25 10:00:00PM;31.574;2432;12.69;128;7.72;97.498;8.543;97.552
310;04/22/25 10:30:00PM;23.388;3456;11.916;136;7.519;97.665;8.344;97.645
311;04/22/25 11:00:00PM;20.996;2048;11.528;74;7.569;97.728;8.369;97.751
312;04/22/25 11:30:00PM;22.525;2304;11.625;96;7.619;97.841;8.419;97.864
313;04/23/25 12:00:00AM;12.594;432;10.651;34;5.898;97.805;7.87;97.836
314;04/23/25 12:30:00AM;8.082;79;9.669;3;5.282;98.024;7.167;97.764
315;04/23/25 01:00:00AM;8.182;0;9.373;0;4.921;98.02;6.357;97.908
316;04/23/25 01:30:00AM;8.581;0;9.373;0;4.688;98.052;6;98.029
317;04/23/25 02:00:00AM;8.282;0;9.275;0;4.584;97.974;5.693;98.187
318;04/23/25 02:30:00AM;7.381;0;8.779;0;4.61;97.884;5.565;98.249
319;04/23/25 03:00:00AM;8.382;0;8.978;0;4.766;97.246;5.385;98.272
320;04/23/25 03:30:00AM;8.581;0;9.077;0;4.22;97.775;5.308;98.42
321;04/23/25 04:00:00AM;8.382;0;8.978;0;4.636;97.551;5.154;98.45
322;04/23/25 04:30:00AM;8.382;0;8.978;0;4.792;97.838;5.205;98.537
323;04/23/25 05:00:00AM;8.082;0;8.879;0;4.506;96.881;5.102;98.581
324;04/23/25 05:30:00AM;7.882;0;8.68;0;4.869;95.804;4.792;98.663
325;04/23/25 06:00:00AM;7.882;0;8.68;0;4.999;93.909;4.584;98.653
326;04/23/25 06:30:00AM;7.882;0;8.68;0;5.437;93.277;5.179;98.797
327;04/23/25 07:00:00AM;6.37;0;8.481;0;7.066;87.689;5.616;98.799
328;04/23/25 07:30:00AM;4.311;0;7.682;0;8.817;88.638;5.796;98.849
329;04/23/25 08:00:00AM;3.578;0;7.079;0;8.419;94.292;6.611;98.884
330;04/23/25 08:30:00AM;3.261;0;6.573;0;8.965;91.204;7.116;98.879
331;04/23/25 09:00:00AM;3.261;0;6.064;0;9.04;88.849;8.245;98.803
332;04/23/25 09:30:00AM;3.261;0;5.655;0;10.443;90.495;8.519;98.781
333;04/23/25 10:00:00AM;3.578;0;5.552;0;9.952;91.867;9.706;98.766
334;04/23/25 10:30:00AM;2.41;0;5.244;0;11.54;91.964;9.977;98.493
335;04/23/25 11:00:00AM;3.261;0;4.934;0;11.686;88.086;11.297;97.909
336;04/23/25 11:30:00AM;4.207;0;4.831;0;11.175;96.416;10.614;97.521
337;04/23/25 12:00:00PM;3.472;0;4.727;0;10.98;95.554;10.443;97.199
338;04/23/25 12:30:00PM;3.261;0;4.519;0;10.516;96.742;10.198;97.657
339;04/23/25 01:00:00PM;3.367;88;4.415;0;9.854;96.362;10.687;97.491
340;04/23/25 01:30:00PM;4.519;512;4.415;11;10.247;96.543;10.883;97.469
341;04/23/25 02:00:00PM;8.082;5120;5.141;16;10.785;96.563;10.956;97.564
342;04/23/25 02:30:00PM;12.304;7168;5.45;19;11.856;97.306;11.102;97.83
343;04/23/25 03:00:00PM;11.722;7936;6.166;24;10.001;95.949;11.102;97.805
344;04/23/25 03:30:00PM;11.334;1728;6.978;34;10.834;97.079;10.59;97.113
345;04/23/25 04:00:00PM;15.76;2560;7.983;80;11.88;96.96;11.127;97.41
346;04/23/25 04:30:00PM;15.76;3072;8.68;34;10.443;97.224;10.785;97.568
347;04/23/25 05:00:00PM;14.517;1920;9.768;94;9.41;97.467;10.051;97.667
348;04/23/25 05:30:00PM;15.855;1984;10.651;122;9.089;97.652;9.829;97.856
349;04/23/25 06:00:00PM;20.71;2816;11.722;232;8.519;97.892;9.509;98.041
350;04/23/25 06:30:00PM;13.942;2304;11.236;99;7.77;98.055;8.965;98.114
351;04/23/25 07:00:00PM;15.951;2176;11.431;98;7.895;98.139;8.891;98.242
352;04/23/25 07:30:00PM;14.134;1344;10.748;79;7.945;98.177;8.866;98.359
353;04/23/25 08:00:00PM;14.517;1856;11.041;184;7.895;98.114;8.891;98.44
