epi_ID;dead_alive;relocation;time;branch_ID;survive
BE01;alive;bosque;T1;B06;1
BE01;alive;bosque;T2;B06;0
BE02;alive;bosque;T1;B06;1
BE02;alive;bosque;T2;B06;1
BE02;alive;bosque;T3;B06;1
BE02;alive;bosque;T4;B06;1
BE02;dead;bosque;T5;B06;0
BE03;alive;bosque;T1;B06;1
BE03;alive;bosque;T2;B06;1
BE03;alive;bosque;T3;B06;1
BE03;alive;bosque;T4;B06;0
BE04;alive;bosque;T1;B07;1
BE04;alive;bosque;T2;B07;1
BE04;alive;bosque;T3;B07;0
BE05;alive;bosque;T1;B07;1
BE05;alive;bosque;T2;B07;1
BE05;alive;bosque;T3;B07;1
BE05;alive;bosque;T4;B07;1
BE05;dead;bosque;T5;B07;0
BE06;alive;bosque;T1;B07;1
BE06;alive;bosque;T2;B07;1
BE06;alive;bosque;T3;B07;1
BE06;alive;bosque;T4;B07;1
BE06;alive;bosque;T5;B07;1
BE07;alive;bosque;T1;B08;1
BE07;alive;bosque;T2;B08;1
BE07;alive;bosque;T3;B08;1
BE07;alive;bosque;T4;B08;1
BE07;alive;bosque;T5;B08;1
BE08;alive;bosque;T1;B08;1
BE08;alive;bosque;T2;B08;1
BE08;alive;bosque;T3;B08;1
BE08;alive;bosque;T4;B08;1
BE08;alive;bosque;T5;B08;1
BE09;alive;bosque;T1;B08;1
BE09;alive;bosque;T2;B08;1
BE09;alive;bosque;T3;B08;1
BE09;alive;bosque;T4;B08;1
BE09;dead;bosque;T5;B08;0
BE10;alive;bosque;T1;B08;1
BE10;alive;bosque;T2;B08;1
BE10;alive;bosque;T3;B08;1
BE10;alive;bosque;T4;B08;1
BE10;alive;bosque;T5;B08;1
BE11;alive;bosque;T1;B09;1
BE11;alive;bosque;T2;B09;1
BE11;alive;bosque;T3;B09;1
BE11;alive;bosque;T4;B09;1
BE11;alive;bosque;T5;B09;1
BE12;alive;bosque;T1;B09;1
BE12;alive;bosque;T2;B09;1
BE12;alive;bosque;T3;B09;1
BE12;alive;bosque;T4;B09;1
BE12;alive;bosque;T5;B09;1
BE13;alive;bosque;T1;B09;1
BE13;alive;bosque;T2;B09;1
BE13;alive;bosque;T3;B09;1
BE13;alive;bosque;T4;B09;1
BE13;dead;bosque;T5;B09;0
BE14;alive;bosque;T1;B09;1
BE14;alive;bosque;T2;B09;1
BE14;alive;bosque;T3;B09;1
BE14;alive;bosque;T4;B09;1
BE14;alive;bosque;T5;B09;1
BE15;alive;bosque;T1;B10;1
BE15;alive;bosque;T2;B10;1
BE15;alive;bosque;T3;B10;1
BE15;alive;bosque;T4;B10;1
BE15;alive;bosque;T5;B10;1
BE16;alive;bosque;T1;B10;1
BE16;alive;bosque;T2;B10;1
BE16;alive;bosque;T3;B10;1
BE16;alive;bosque;T4;B10;1
BE16;alive;bosque;T5;B10;1
BE17;alive;bosque;T1;B10;1
BE17;alive;bosque;T2;B10;1
BE17;alive;bosque;T3;B10;1
BE17;alive;bosque;T4;B10;1
BE17;alive;bosque;T5;B10;1
BE18;alive;puna;T1;B01;1
BE18;alive;puna;T2;B01;1
BE18;dead;puna;T3;B01;0
BE19;alive;puna;T1;B01;1
BE19;alive;puna;T2;B01;1
BE19;dead;puna;T3;B01;0
BE20;alive;puna;T1;B02;1
BE20;alive;puna;T2;B02;1
BE20;dead;puna;T3;B02;0
BE21;alive;puna;T1;B02;1
BE21;alive;puna;T2;B02;1
BE21;dead;puna;T3;B02;0
BE22;alive;puna;T1;B02;1
BE22;alive;puna;T2;B02;1
BE22;dead;puna;T3;B02;0
BE23;alive;puna;T1;B02;1
BE23;alive;puna;T2;B02;1
BE23;dead;puna;T3;B02;0
BE24;alive;puna;T1;B02;1
BE24;alive;puna;T2;B02;1
BE24;dead;puna;T3;B02;0
BE25;alive;puna;T1;B03;1
BE25;alive;puna;T2;B03;1
BE25;dead;puna;T3;B03;0
BE26;alive;puna;T1;B03;1
BE26;alive;puna;T2;B03;1
BE26;dead;puna;T3;B03;0
BE27;alive;puna;T1;B03;1
BE27;alive;puna;T2;B03;1
BE27;alive;puna;T3;B03;1
BE27;alive;puna;T4;B03;1
BE27;alive;puna;T5;B03;1
BE28;alive;puna;T1;B04;1
BE28;alive;puna;T2;B04;1
BE28;dead;puna;T3;B04;0
BE29;alive;puna;T1;B04;1
BE29;dead;puna;T2;B04;0
BE30;alive;puna;T1;B04;1
BE30;alive;puna;T2;B04;1
BE30;dead;puna;T3;B04;0
BE31;alive;puna;T1;B04;1
BE31;alive;puna;T2;B04;1
BE31;alive;puna;T3;B04;1
BE31;alive;puna;T4;B04;1
BE31;alive;puna;T5;B04;1
BE32;alive;puna;T1;B05;1
BE32;alive;puna;T2;B05;1
BE32;alive;puna;T3;B05;1
BE32;alive;puna;T4;B05;1
BE32;alive;puna;T5;B05;1
BE33;alive;puna;T1;B05;1
BE33;alive;puna;T2;B05;1
BE33;alive;puna;T3;B05;1
BE33;dead;puna;T4;B05;0
BE34;alive;puna;T1;B05;1
BE34;alive;puna;T2;B05;1
BE34;dead;puna;T3;B05;0
BE35;alive;puna;T1;B05;1
BE35;alive;puna;T2;B05;1
BE35;alive;puna;T3;B05;1
BE35;dead;puna;T4;B05;0
BE36;alive;puna;T1;B05;1
BE36;alive;puna;T2;B05;1
BE36;dead;puna;T3;B05;0
BE37;alive;puna;T1;B05;1
BE37;alive;puna;T2;B05;1
BE37;dead;puna;T3;B05;0
BE38;alive;puna;T1;B05;1
BE38;alive;puna;T2;B05;1
BE38;alive;puna;T3;B05;1
BE38;alive;puna;T4;B05;1
BE38;alive;puna;T5;B05;1
