"forof";"RIQUEZA";"ABUNDANCIA";"dap";"plot";"genera_tree";"elevation"
"ACJ-01_313";6;15;15;"ACJ-01";"Sessea";3537
"ACJ-01_314";4;11;28,5;"ACJ-01";"Hedyosmum";3537
"ACJ-01_315";8;17;50,8;"ACJ-01";"Polylepis";3537
"ACJ-01_316";6;13;17,2;"ACJ-01";"Hedyosmum";3537
"ACJ-01_317";3;5;26,5;"ACJ-01";"Symplocos";3537
"ACJ-01_319";3;5;15,1;"ACJ-01";"Symplocos";3537
"ACJ-01_321";6;11;15,7;"ACJ-01";"Weinmannia";3537
"ACJ-01_323";6;23;28,3;"ACJ-01";"Weinmannia";3537
"ACJ-01_325";15;71;51,8;"ACJ-01";"Weinmannia";3537
"ACJ-01_326";2;4;12,5;"ACJ-01";"Saracha";3537
"ACJ-01_327";2;2;10,3;"ACJ-01";"Hedyosmum";3537
"ACJ-01_328";1;1;12,2;"ACJ-01";"Miconia";3537
"ACJ-01_329";5;19;17,7;"ACJ-01";"Weinmannia";3537
"ACJ-01_334";6;13;19,6;"ACJ-01";"Clethra";3537
"ACJ-01_336";12;30;31,1;"ACJ-01";"Weinmannia";3537
"ACJ-01_338";3;4;15,9;"ACJ-01";"Sessea";3537
"ACJ-01_339";7;21;25,2;"ACJ-01";"Symplocos";3537
"ACJ-01_342";4;9;14,2;"ACJ-01";"Symplocos";3537
"ACJ-01_343";7;16;29,6;"ACJ-01";"Miconia";3537
"ACJ-01_344";5;8;16,9;"ACJ-01";"Symplocos";3537
"ACJ-01_345";4;12;31;"ACJ-01";"Polylepis";3537
"ACJ-01_4509";1;1;12,9;"ACJ-01";"Symplocos";3537
"ACJ-01_4510";3;4;13,6;"ACJ-01";"Symplocos";3537
"ACJ-01_4511";2;2;11,9;"ACJ-01";"Symplocos";3537
"ACJ-01_4528";1;2;12,1;"ACJ-01";"Symplocos";3537
"ACJ-01_4529";1;1;12,6;"ACJ-01";"Symplocos";3537
"ACJ-01_4530";4;6;12,7;"ACJ-01";"Hedyosmum";3537
"ACJ-01_4546";1;1;12,6;"ACJ-01";"Symplocos";3537
"ACJ-01_4577";7;13;10,6;"ACJ-01";"Symplocos";3537
"ACJ-01_4578";1;3;10,8;"ACJ-01";"Hedyosmum";3537
"ACJ-01_4593";3;3;10,7;"ACJ-01";"Miconia";3537
"ACJ-01_714";21;54;41,6;"ACJ-01";"Weinmannia";3537
"ACJ-01_715";9;38;37,5;"ACJ-01";"Miconia";3537
"ACJ-01_716";7;10;31,6;"ACJ-01";"Clethra";3537
"ACJ-01_717";6;28;29,2;"ACJ-01";"Symplocos";3537
"ACJ-01_718";4;14;11,4;"ACJ-01";"Hedyosmum";3537
"ACJ-01_719";12;37;25,2;"ACJ-01";"Hedyosmum";3537
"ACJ-01_720";9;20;23,3;"ACJ-01";"Symplocos";3537
"ACJ-01_721";5;10;17,4;"ACJ-01";"Hedyosmum";3537
"ACJ-01_724";7;8;16,4;"ACJ-01";"Miconia";3537
"ACJ-01_725";4;5;15,2;"ACJ-01";"Miconia";3537
"ACJ-01_726";4;6;22,2;"ACJ-01";"Polylepis";3537
"ACJ-01_727";4;7;19,9;"ACJ-01";"Polylepis";3537
"ACJ-01_729";8;25;36,5;"ACJ-01";"Hedyosmum";3537
"ACJ-01_730";11;23;29,9;"ACJ-01";"Hedyosmum";3537
"ACJ-01_731";16;62;40,1;"ACJ-01";"Miconia";3537
"ACJ-01_732";5;7;19,8;"ACJ-01";"Hedyosmum";3537
"ACJ-01_734";3;5;14,4;"ACJ-01";"Hedyosmum";3537
"ACJ-01_737";13;42;37,5;"ACJ-01";"Miconia";3537
"ACJ-01_741";4;12;18,4;"ACJ-01";"Hedyosmum";3537
"ACJ-01_742";8;29;44;"ACJ-01";"Symplocos";3537
"ACJ-01_743";8;18;29,1;"ACJ-01";"Symplocos";3537
"ACJ-01_744";6;11;24,4;"ACJ-01";"Symplocos";3537
"APK-01_104";11;21;22,31;"APK-01";"Symplocos";3625
"APK-01_105";10;17;16,68;"APK-01";"Symplocos";3625
"APK-01_106";15;46;15,66;"APK-01";"Symplocos";3625
"APK-01_107";2;4;12,09;"APK-01";"Symplocos";3625
"APK-01_108";12;28;29,35;"APK-01";"Gynoxys";3625
"APK-01_109";9;20;16,62;"APK-01";"Symplocos";3625
"APK-01_110";8;10;17,44;"APK-01";"Symplocos";3625
"APK-01_111";12;23;19,35;"APK-01";"Symplocos";3625
"APK-01_113";9;20;28,97;"APK-01";"Miconia";3625
"APK-01_114";7;17;14,39;"APK-01";"Oreopanax";3625
"APK-01_115";5;8;18,52;"APK-01";"Saracha";3625
"APK-01_116";9;24;25,5;"APK-01";"Miconia";3625
"APK-01_118";11;14;22,38;"APK-01";"Oreopanax";3625
"APK-01_119";10;20;22,03;"APK-01";"Siphocampylus";3625
"APK-01_120";6;13;25,78;"APK-01";"Gynoxys";3625
"APK-01_122";7;11;17,51;"APK-01";"Gynoxys";3625
"APK-01_123";14;34;38,9;"APK-01";"Gynoxys";3625
"APK-01_124";11;23;13,75;"APK-01";"Oreopanax";3625
