plot;elevation;subplot;tag;tagtree;family;genus;species;NC;DBH;H;obv
TRU-02;3261;11;309;TRU-02_309;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;15.44;15;quebrado
TRU-02;3261;11;310;TRU-02_310;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;22.38;7;quebrado
TRU-02;3261;11;311;TRU-02_311;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;20.59;15;
TRU-02;3261;11;314;TRU-02_314;Primulaceae;Myrsine;andina;Myrsine andina;21.96;15;
TRU-02;3261;11;315;TRU-02_315;Primulaceae;Myrsine;andina;Myrsine andina;20.47;13;
TRU-02;3261;11;329;TRU-02_329;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;22.98;15;
TRU-02;3261;11;336;TRU-02_336;Rosaceae;Prunus;huantensis;Prunus huantensis;10.82;7;
TRU-02;3261;11;338;TRU-02_338;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;26.74;13;quebrado
TRU-02;3261;11;340;TRU-02_340;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;14.64;10;quebrado
TRU-02;3261;11;346;TRU-02_346;Lamiaceae;Aegiphila;saltensis;Aegiphila saltensis;17.51;7;
TRU-02;3261;11;350;TRU-02_350;Clusiaceae;Clusia;alata;Clusia alata;36.73;14;
TRU-02;3261;11;351;TRU-02_351;Clusiaceae;Clusia;alata;Clusia alata;40.04;16;
TRU-02;3261;15;422;TRU-02_422;Clusiaceae;Clusia;alata;Clusia alata;39.63;19;
TRU-02;3261;15;425;TRU-02_425;Lauraceae;Ocotea;WFR576;Ocotea WFR576;32.98;15;
TRU-02;3261;15;426;TRU-02_426;Melastomataceae;Axinaea;pennellii;Axinaea pennellii;36.54;19;
TRU-02;3261;15;427;TRU-02_427;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;43.51;25;
TRU-02;3261;15;429;TRU-02_429;Cyatheaceae;Cyathea;ruiziana;Cyathea ruiziana;13.94;4;
TRU-02;3261;15;430;TRU-02_430;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;47.24;27;
TRU-02;3261;15;431;TRU-02_431;Cunoniaceae;Weinmannia;bangii;Weinmannia bangii;42.37;27;
TRU-02;3261;15;433;TRU-02_433;Cyatheaceae;Cyathea;austropallescens;Cyathea austropallescens;18.75;6;
TRU-02;3261;21;636;TRU-02_636;Clusiaceae;Clusia;alata;Clusia alata;18.18;14;agregado
TRU-02;3261;11;4097;TRU-02_4097;Cyatheaceae;Cyathea;austropallescens;Cyathea austropallescens;11.14;5;
TRU-02;3261;11;4098;TRU-02_4098;Primulaceae;Myrsine;coriacea;Myrsine coriacea;19.89;14;
TRU-02;3261;15;4115;TRU-02_4115;Melastomataceae;Miconia;WFR632;Miconia WFR632;11.52;12;
TRU-02;3261;15;4116;TRU-02_4116;Melastomataceae;Miconia;WFR632;Miconia WFR632;14.13;9.5;
TRU-02;3261;15;4119;TRU-02_4119;Brunelliaceae;Brunellia;inermis;Brunellia inermis;12.57;9;
TRU-02;3261;15;4120;TRU-02_4120;Melastomataceae;Miconia;WFR614;Miconia WFR614;10.82;11;
TRU-02;3261;15;4121;TRU-02_4121;Melastomataceae;Axinaea;pennellii;Axinaea pennellii;19.1;9.5;
TRU-02;3261;15;4122;TRU-02_4122;Melastomataceae;Miconia;WFR632;Miconia WFR632;26.74;10;
TRU-02;3261;15;4123;TRU-02_4123;Melastomataceae;Axinaea;pennellii;Axinaea pennellii;36.73;10;
TRU-02;3261;15;4124;TRU-02_4124;Melastomataceae;Miconia;WFR632;Miconia WFR632;40.04;7;
TRU-02;3261;11;4191;TRU-02_4191;Melastomataceae;Miconia;WFR632;Miconia WFR632;13.11;7;
TRU-02;3261;11;4192;TRU-02_4192;Melastomataceae;Miconia;dispar;Miconia dispar;12.41;8;
TRU-02;3261;15;4200;TRU-02_4200;Melastomataceae;Miconia;WFR632;Miconia WFR632;11.33;7;
TRU-02;3261;15;4202;TRU-02_4202;Melastomataceae;Miconia;WFR632;Miconia WFR632;10.44;10;
TRU-02;3261;15;4204;TRU-02_4204;Melastomataceae;Axinaea;pennellii;Axinaea pennellii;15.2;10;
TRU-02;3261;10;4237;TRU-02_4237;Clusiaceae;Clusia;alata;Clusia alata;10.89;6;agregado
TRU-02;3261;11;4238;TRU-02_4238;Melastomataceae;Miconia ;brevistylis;Miconia  brevistylis;43.51;8;
TRU-02;3261;15;4247;TRU-02_4247;Melastomataceae;Miconia;WFR632;Miconia WFR632;18.75;8;
TRU-02;3261;15;4248;TRU-02_4248;Melastomataceae;Axinaea ;pennellii;Axinaea  pennellii;19.42;10;
TRU-02;3261;15;4249;TRU-02_4249;Melastomataceae;Miconia;nigricans;Miconia nigricans;42.37;8;
TRU-02;3261;15;4250;TRU-02_4250;Melastomataceae;Miconia;WFR632;Miconia WFR632;10.5;9;
TRU-02;3261;15;4251;TRU-02_4251;Melastomataceae;Miconia;WFR632;Miconia WFR632;10.5;8;
TRU-02;3261;15;4252;TRU-02_4252;Melastomataceae;Miconia;WFR632;Miconia WFR632;15.92;8;
TRU-02;3261;19;4264;TRU-02_4264;Clusiaceae;Clusia;alata;Clusia alata;11.94;7.5;agregado
TRU-01;3402;1;1;TRU-01_1;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;22.3;5;
TRU-01;3402;1;2;TRU-01_2;Lauraceae;Persea;ferruginea;Persea ferruginea;22.6;5;
TRU-01;3402;1;4;TRU-01_4;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;32.5;11;
TRU-01;3402;1;5;TRU-01_5;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;12.7;10;
TRU-01;3402;1;6;TRU-01_6;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;17.2;10;
TRU-01;3402;1;7;TRU-01_7;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;23.6;12;
TRU-01;3402;1;8;TRU-01_8;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;27.3;13;
TRU-01;3402;1;9;TRU-01_9;Melastomataceae;Miconia;setulosa;Miconia setulosa;15.9;9.5;
TRU-01;3402;1;10;TRU-01_10;Symplocaceae;Symplocos;psiloclada;Symplocos psiloclada;17.8;10;
TRU-01;3402;1;12;TRU-01_12;Clethraceae;Clethra;WRF584;Clethra WRF584;39.2;20;
TRU-01;3402;1;13;TRU-01_13;Clethraceae;Clethra;cuneata;Clethra cuneata;32.5;10;
TRU-01;3402;1;14;TRU-01_14;Clusiaceae;Clusia;alata;Clusia alata;13.5;5.5;inclinado
TRU-01;3402;1;16;TRU-01_16;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;32.5;10;
TRU-01;3402;1;17;TRU-01_17;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;27.1;10;
TRU-01;3402;1;18;TRU-01_18;Aquifoliaceae;Ilex;sessiliflora;Ilex sessiliflora;21.3;13;
TRU-01;3402;1;19;TRU-01_19;Melastomataceae;Miconia;setulosa;Miconia setulosa;34.7;12;
TRU-01;3402;1;20;TRU-01_20;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;32.7;14;
TRU-01;3402;1;21;TRU-01_21;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;23.5;10;
TRU-01;3402;1;22;TRU-01_22;Melastomataceae;Miconia;setulosa;Miconia setulosa;15.9;9;
TRU-01;3402;1;23;TRU-01_23;Melastomataceae;Miconia;setulosa;Miconia setulosa;29.7;11;
TRU-01;3402;1;25;TRU-01_25;Clusiaceae;Clusia;alata;Clusia alata;34.6;15;
TRU-01;3402;23;560;TRU-01_560;Lauraceae;Persea;ferruginea;Persea ferruginea;39.6;10;
TRU-01;3402;23;561;TRU-01_561;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;46.5;7;
TRU-01;3402;23;563;TRU-01_563;Melastomataceae;Miconia;setulosa;Miconia setulosa;18.2;8;
TRU-01;3402;23;565;TRU-01_565;Aquifoliaceae;Ilex;sessiliflora;Ilex sessiliflora;13.1;6;
TRU-01;3402;23;566;TRU-01_566;Melastomataceae;Miconia;setulosa;Miconia setulosa;16.2;9;
TRU-01;3402;23;567;TRU-01_567;Aquifoliaceae;Ilex;sessiliflora;Ilex sessiliflora;25.9;9;
TRU-01;3402;23;568;TRU-01_568;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;38.2;11;
TRU-01;3402;23;569;TRU-01_569;Melastomataceae;Miconia;setulosa;Miconia setulosa;18.2;6.5;
TRU-01;3402;23;570;TRU-01_570;Clusiaceae;Clusia;alata;Clusia alata;26.7;13;
TRU-01;3402;23;571;TRU-01_571;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;52.52;13;
TRU-01;3402;23;573;TRU-01_573;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;47.7;16;
TRU-01;3402;23;575;TRU-01_575;Melastomataceae;Miconia;setulosa;Miconia setulosa;25.5;10;
TRU-01;3402;1;4002;TRU-01_4002;Melastomataceae;Miconia;WFR632;Miconia WFR632;17.8;9;
TRU-01;3402;23;4108;TRU-01_4108;Cunoniaceae;Weinmannia;cochensis;Weinmannia cochensis;38.8;12;
TRU-01;3402;23;4110;TRU-01_4110;Aquifoliaceae;Ilex;sessiliflora;Ilex sessiliflora;12.4;12;
TRU-01;3402;23;4111;TRU-01_4111;Clusiaceae;Clusia;alata;Clusia alata;15.6;13;
TRU-01;3402;23;4112;TRU-01_4112;Clusiaceae;Clusia;alata;Clusia alata;25.1;12;
TRU-01;3402;23;4113;TRU-01_4113;Clusiaceae;Clusia;alata;Clusia alata;23.5;12;
TRU-01;3402;23;4114;TRU-01_4114;Gentianaceae;Macrocarpaea;maguirei;Macrocarpaea maguirei;20.7;9;postrado
TRU-01;3402;23;4115;TRU-01_4115;Clethraceae;Clethra;cuneata;Clethra cuneata;28;14;
TRU-01;3402;23;4116;TRU-01_4116;Clethraceae;Clethra;cuneata;Clethra cuneata;22.9;11;
TRU-01;3402;23;4117;TRU-01_4117;Clethraceae;Clethra;cuneata;Clethra cuneata;35.3;15;
TRU-01;3402;23;4118;TRU-01_4118;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;14;10;
TRU-01;3402;23;4150;TRU-01_4150;Melastomataceae;Miconia;WFR632;Miconia WFR632;11.5;7;
TRU-01;3402;1;4152;TRU-01_4152;Aquifoliaceae;Ilex;sessiliflora;Ilex sessiliflora;10.8;6;
TRU-01;3402;23;4167;TRU-01_4167;Clusiaceae;Clusia;alata;Clusia alata;11.2;7;
TRU-01;3402;23;4168;TRU-01_4168;Melastomataceae;Miconia;setulosa;Miconia setulosa;10.6;6;
ACJ-01;3537;9;313;ACJ-01_313;Solanaceae;Sessea;dependens;Sessea dependens;15;9;
ACJ-01;3537;9;314;ACJ-01_314;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;28.5;12;
ACJ-01;3537;9;315;ACJ-01_315;Rosaceae;Polylepis;pauta;Polylepis pauta;50.8;15;
ACJ-01;3537;9;316;ACJ-01_316;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;17.2;9;
ACJ-01;3537;9;317;ACJ-01_317;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;26.5;12;
ACJ-01;3537;9;319;ACJ-01_319;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;15.1;10;
ACJ-01;3537;9;321;ACJ-01_321;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;15.7;9;
ACJ-01;3537;9;323;ACJ-01_323;Cunoniaceae;Weinmannia;auriculata;Weinmannia auriculata;28.3;15;
